Time:	Direct:	Amplified:
49702	24.80606	24.836823
49803	24.80606	24.828033
49903	24.893982	24.8544
50004	24.893982	24.924744
50119	24.893982	24.95111
50219	24.893982	24.95111
50320	24.893982	24.933533
50436	24.893982	25.012726
50536	24.981903	24.995117
50637	24.981903	25.003906
50753	24.981903	25.056732
50853	25.15802	24.986328
50953	25.069946	25.100739
51053	25.15802	25.039124
51169	24.893982	25.07434
51269	24.893982	25.08316
51369	25.069946	25.08316
51470	24.981903	25.127167
51570	24.893982	25.07434
51670	25.069946	25.065521
51770	25.069946	25.188843
51870	24.981903	25.162384
51987	25.246124	25.100739
52103	25.069946	25.180023
52203	25.069946	25.171204
52320	25.33429	25.153595
52437	25.15802	25.171204
52554	25.069946	25.171204
52669	25.15802	25.144775
52769	24.981903	25.135986
52871	25.15802	25.276978
52971	25.246124	25.153595
53086	25.246124	25.162384
53187	25.15802	25.206451
53304	25.15802	25.22409
53420	25.422516	25.171204
53520	25.422516	25.321075
53620	25.069946	25.162384
53721	25.069946	25.215271
53837	25.246124	25.2417
53938	25.15802	25.303436
54038	25.422516	25.312225
54153	25.246124	25.22409
54255	25.15802	25.338715
54355	25.15802	25.2417
54456	25.33429	25.250519
54571	25.246124	25.2417
54672	25.422516	25.215271
54772	25.33429	25.23291
54872	25.422516	25.206451
54988	25.069946	25.250519
55088	25.15802	25.268158
55188	25.069946	25.2417
55288	25.33429	25.180023
55389	25.246124	25.259338
55489	25.246124	25.285797
55605	25.246124	25.285797
55705	25.246124	25.276978
55805	25.246124	25.268158
55921	25.246124	25.259338
56031	25.246124	25.2417
56135	25.15802	25.23291
56236	25.15802	25.22409
56352	25.15802	25.206451
56468	25.15802	25.197662
56568	25.15802	25.188843
56668	25.15802	25.180023
56768	25.15802	25.171204
56868	25.15802	25.162384
56969	25.069946	25.153595
57076	25.069946	25.144775
57176	25.069946	25.135986
57276	25.069946	25.127167
57376	25.069946	25.118347
57476	25.069946	25.109558
57576	25.069946	25.100739
57676	25.069946	25.09195
57776	25.069946	25.09195
57876	25.069946	25.08316
57976	24.981903	25.07434
58077	24.981903	25.07434
58192	25.069946	25.056732
58293	24.981903	25.056732
58393	25.069946	25.047913
58495	24.981903	25.039124
58597	24.981903	25.039124
58701	24.981903	25.030334
58805	24.981903	25.021545
58905	24.981903	25.012726
59005	24.981903	25.012726
59106	24.981903	25.003906
59221	24.981903	25.003906
59337	24.981903	24.995117
59454	24.893982	24.986328
59570	24.981903	24.986328
59670	24.981903	24.97754
59771	24.981903	24.96872
59873	24.893982	24.95993
59973	24.893982	24.95993
60089	24.981903	24.95993
60189	24.981903	24.95111
60301	24.893982	24.942322
60416	24.893982	24.942322
60516	24.893982	24.933533
60617	24.893982	24.924744
60717	24.893982	24.924744
60833	24.893982	24.924744
60933	24.893982	24.915955
61034	24.893982	24.915955
61150	24.893982	24.907135
61251	24.893982	24.907135
61357	24.893982	24.898346
61459	24.893982	24.898346
61575	24.893982	24.889557
61691	24.893982	24.880768
61792	24.80606	24.880768
61908	24.80606	24.871979
62009	24.893982	24.871979
62126	24.893982	24.86319
62243	24.80606	24.86319
62358	24.893982	24.86319
62458	24.80606	24.86319
62558	24.893982	24.880768
62658	24.893982	24.880768
62758	24.893982	24.880768
62858	24.893982	24.907135
62958	24.893982	24.907135
63058	24.893982	24.924744
63159	24.893982	24.942322
63275	24.893982	24.95993
63375	24.893982	24.986328
63488	24.981903	25.003906
63590	24.981903	24.995117
63690	24.981903	24.995117
63806	24.981903	25.003906
63908	24.981903	25.030334
64009	24.981903	25.08316
64109	24.981903	25.047913
64209	25.069946	25.065521
64309	25.069946	25.08316
64413	25.069946	25.100739
64530	25.069946	25.118347
64630	25.069946	25.109558
64747	25.15802	25.100739
64864	25.069946	25.135986
64979	25.15802	25.118347
65079	25.15802	25.180023
65180	25.15802	25.171204
65296	25.069946	25.144775
65396	25.15802	25.197662
65497	25.15802	25.171204
65610	25.15802	25.162384
65725	25.15802	25.162384
65825	25.15802	25.153595
65926	25.246124	25.215271
66026	25.15802	25.2417
66126	25.246124	25.206451
66242	25.246124	25.162384
66342	25.246124	25.268158
66442	25.15802	25.188843
66542	25.246124	25.188843
66642	25.15802	25.188843
66753	25.15802	25.268158
66854	25.069946	25.268158
66970	25.246124	25.215271
67075	25.15802	25.2417
67190	25.246124	25.215271
67291	25.246124	25.268158
67395	25.246124	25.276978
67495	25.15802	25.268158
67612	25.15802	25.22409
67712	25.15802	25.276978
67812	25.246124	25.250519
67928	25.246124	25.259338
68029	25.33429	25.23291
68146	25.246124	25.259338
68246	25.33429	25.276978
68361	25.246124	25.276978
68461	25.246124	25.259338
68562	25.15802	25.259338
68678	25.246124	25.294617
68778	25.246124	25.285797
68882	25.246124	25.285797
68982	25.246124	25.259338
69082	25.246124	25.285797
69182	25.246124	25.285797
69282	25.246124	25.268158
69386	25.246124	25.276978
69486	25.246124	25.276978
69588	25.246124	25.294617
69705	25.246124	25.276978
69820	25.246124	25.285797
69928	25.246124	25.268158
70028	25.33429	25.294617
70129	25.246124	25.303436
70245	25.246124	25.285797
70345	25.246124	25.268158
70446	25.246124	25.303436
70561	25.33429	25.303436
70662	25.33429	25.285797
70762	25.246124	25.294617
70863	25.33429	25.285797
70975	25.33429	25.294617
71092	25.246124	25.294617
71209	25.246124	25.285797
71325	25.246124	25.321075
71425	25.246124	25.303436
71525	25.33429	25.268158
71641	25.246124	25.312225
71742	25.246124	25.303436
71858	25.246124	25.294617
71958	25.33429	25.276978
72064	25.246124	25.303436
72164	25.33429	25.329895
72264	25.33429	25.294617
72364	25.246124	25.276978
72465	25.246124	25.312225
72581	25.33429	25.338715
72681	25.33429	25.303436
72781	25.246124	25.285797
72882	25.33429	25.294617
72982	25.33429	25.329895
73097	25.246124	25.312225
73213	25.246124	25.294617
73314	25.15802	25.312225
73414	25.246124	25.329895
73529	25.33429	25.312225
73630	25.246124	25.303436
73730	25.246124	25.294617
73831	25.33429	25.329895
73946	25.246124	25.312225
74047	25.33429	25.312225
